TiO2_wt,TiO2_fine_frac,TiO2_fine_wt,TiO2_coarse_wt,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,K_vis,K_NIR1,K_NIR2,NIR2_NIR1,ZrO2_present,rank
15,0.6,9.0,6.0,15,20.0,5.0,45.0,9.16347423878338,9.730119765371802,9.558037569821648,4.712139146801518,0.4930027856010453,True,62
25,0.4,10.0,15.0,5,15.0,5.0,50.0,9.15176655652317,9.420843327140537,9.494003618569494,6.291351746648164,0.6626658256526041,True,63
25,0.5,12.5,12.5,0,20.0,5.0,50.0,9.131383183148566,9.400541715209961,9.704999674555888,5.345083938189182,0.5507557050416676,False,64
20,0.6,12.0,8.0,5,20.0,5.0,50.0,8.987285308303735,9.393683684042369,9.582200155998782,4.482541952350989,0.4677988227520759,True,65
15,0.6,9.0,6.0,15,15.0,5.0,50.0,8.859422610360507,9.407266371307623,9.240894004848073,4.555786485834099,0.4930027856010452,True,66
25,0.5,12.5,12.5,0,15.0,5.0,55.0,8.844873523473698,9.105586837776428,9.4004920114635,5.177374605512142,0.5507557050416674,False,67
20,0.4,8.0,12.0,10,20.0,5.0,45.0,8.736652135471328,9.091428651299163,8.983005189176268,5.873175085528136,0.6538096062334235,True,68
20,0.6,12.0,8.0,5,15.0,5.0,55.0,8.702956648929392,9.09649789357874,9.279050313666028,4.340728812990249,0.4677988227520759,True,69
15,0.5,7.5,7.5,15,20.0,5.0,45.0,8.58172635364696,9.081441496434637,8.847506588805153,4.9718457053623935,0.5619487994112742,True,70
20,0.7,14.0,6.0,0,20.0,5.0,55.0,8.508536152271356,8.880909515669444,9.268282418873984,3.5146686826897757,0.3792146725624679,False,71
15,0.7,10.5,4.5,10,20.0,5.0,50.0,8.468309998123281,8.971477712758366,9.002455297496883,3.771330012253907,0.41892238146436767,True,72
20,0.4,8.0,12.0,10,15.0,5.0,50.0,8.44926430066937,8.792370619133118,8.687513692971374,5.679979906749089,0.6538096062334235,True,73
15,0.5,7.5,7.5,15,15.0,5.0,50.0,8.296977599570443,8.780111782020052,8.55393902745132,4.806875766713512,0.5619487994112743,True,74
20,0.7,14.0,6.0,0,15.0,5.0,60.0,8.249266843687131,8.610293368717773,8.985862372522849,3.4075708572876535,0.37921467256246794,False,75
20,0.5,10.0,10.0,5,20.0,5.0,50.0,8.24889591100339,8.570342218984834,8.680351509461866,4.812177133071487,0.5543758369492361,True,76
25,0.4,10.0,15.0,0,20.0,5.0,50.0,8.216239493272173,8.380110288220623,8.587268161726325,5.753626580730574,0.6700182726765931,False,77
15,0.7,10.5,4.5,10,15.0,5.0,55.0,8.198158004419577,8.68527390218611,8.71526325476507,3.6510188377750787,0.4189223814643676,True,78
15,0.4,6.0,9.0,15,20.0,5.0,45.0,7.999978468510541,8.432763227497473,8.136975607788656,5.231552263923269,0.6429357191283286,True,79
20,0.5,10.0,10.0,5,15.0,5.0,55.0,7.987927505613269,8.299204291355915,8.405733243442986,4.659935402005721,0.554375836949236,True,80
25,0.4,10.0,15.0,0,15.0,5.0,55.0,7.9584437208454,8.117172845057922,8.317830856423724,5.57309866283709,0.6700182726765931,False,81
15,0.6,9.0,6.0,10,20.0,5.0,50.0,7.909730758008122,8.348633652986372,8.320221866839196,4.02069351806165,0.4832435459547533,True,82
20,0.6,12.0,8.0,0,20.0,5.0,55.0,7.798194318409917,8.088842500187582,8.400690300421731,3.8317827415242394,0.45612712818753437,False,83
15,0.4,6.0,9.0,15,15.0,5.0,50.0,7.734532588780377,8.152957192732481,7.866984050054565,5.057965047592923,0.6429357191283286,True,84
15,0.6,9.0,6.0,10,15.0,5.0,55.0,7.657398293276791,8.082299517065987,8.054794110193312,3.892427267745277,0.4832435459547532,True,85
20,0.6,12.0,8.0,0,15.0,5.0,60.0,7.560570312005498,7.84236195820734,8.144707235081036,3.715021921065747,0.4561271281875344,False,86
20,0.4,8.0,12.0,5,20.0,5.0,50.0,7.510506513703046,7.747000753927295,7.778502862924952,5.141812313791986,0.6610285300915232,True,87
15,0.5,7.5,7.5,10,20.0,5.0,50.0,7.351151517892961,7.725789593214378,7.637988436181508,4.270057023869392,0.5590551831215053,True,88
15,0.7,10.5,4.5,5,20.0,5.0,55.0,7.289210784657688,7.671959718754378,7.833327750648808,3.1424006635452826,0.40115781741482837,True,89
20,0.4,8.0,12.0,5,15.0,5.0,55.0,7.272898362297145,7.50191068913309,7.532416173219942,4.979141991021193,0.6610285300915231,True,90
