TiO2_wt,TiO2_fine_frac,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,K_solar_norm,eps_window_norm,dual_obj,pareto_flag,row_rank
25,0.4,15,15.0,5.0,40.0,3.3667980542059057,0.8850626164538222,0.6844683085298876,0.997040985202818,0.8407546468663528,False,43
30,0.4,0,25.0,5.0,40.0,3.3397165779283,0.8876893022344341,0.6789626583656109,1.0,0.8394813291828054,False,44
20,0.6,15,20.0,5.0,40.0,3.336460964843555,0.8859740088327344,0.6783007939040465,0.9980676871993589,0.8381842405517027,False,45
25,0.6,0,25.0,5.0,45.0,3.325306554537058,0.886604795176245,0.6760331080398472,0.9987782808067426,0.8374056944232948,False,46
25,0.5,5,25.0,5.0,40.0,3.306787659753728,0.8874349788724851,0.6722682262785684,0.999713499575461,0.8359908629270147,False,47
20,0.7,10,20.0,5.0,45.0,3.290009847873823,0.8850091520418362,0.6688573057738695,0.9969807564585361,0.8329190311162028,False,48
30,0.4,0,20.0,5.0,45.0,3.228113195060503,0.8856664927208081,0.6562737481702675,0.9977212640632998,0.8269975061167836,False,49
20,0.6,15,15.0,5.0,45.0,3.222165878975249,0.883667104336702,0.655064661876517,0.9954689125039498,0.8252667871902334,False,50
25,0.6,0,20.0,5.0,50.0,3.217590774687122,0.8842886216137391,0.6541345455336226,0.9961690643199879,0.8251518049268052,False,51
25,0.5,5,20.0,5.0,45.0,3.1953074081923694,0.8853451899221382,0.6496043486143386,0.9973593099450501,0.8234818292796944,False,52
25,0.4,10,20.0,5.0,40.0,3.1711310796068277,0.8862686069734822,0.6446893134779911,0.9983995579789282,0.8215444357284596,False,53
20,0.7,10,15.0,5.0,50.0,3.181786607209502,0.8824364604894707,0.6468555767457226,0.9940825672543971,0.8204690720000598,False,54
20,0.6,10,25.0,5.0,40.0,3.1406464687671853,0.8871699258549586,0.6384918078118773,0.999414911976332,0.8189533598941047,False,55
30,0.4,0,15.0,5.0,50.0,3.1237275232186423,0.883276509944093,0.6350521949051116,0.9950288999999961,0.8150405474525538,False,56
20,0.7,5,25.0,5.0,45.0,3.1025153558211294,0.8863031400305585,0.630739772209996,0.9984384601680043,0.8145891161890002,False,57
25,0.6,0,15.0,5.0,55.0,3.1166344552184726,0.8815075533239872,0.6336101778377978,0.9930361344956095,0.8133231561667036,False,58
25,0.5,5,15.0,5.0,50.0,3.0910985857937443,0.8828667760336757,0.6284187487498104,0.9945673264411101,0.8114930375954603,False,59
20,0.5,15,20.0,5.0,40.0,3.0692909066731473,0.8859740088327344,0.6239852588284323,0.9980676871993589,0.8110264730138956,False,60
25,0.4,10,15.0,5.0,45.0,3.0634671047888107,0.884039869673951,0.6228012829080454,0.9958888402154932,0.8093450615617692,False,61
20,0.6,10,20.0,5.0,45.0,3.033822542278591,0.8850091520418362,0.6167745586341821,0.9969807564585361,0.8068776575463591,False,62
25,0.5,0,25.0,5.0,45.0,3.010120745062664,0.886604795176245,0.6119559954806132,0.9987782808067426,0.8053671381436779,False,63
20,0.7,5,20.0,5.0,50.0,3.001155086272107,0.8839017427589239,0.6101332816711044,0.9957332374447045,0.8029332595579044,False,64
25,0.4,5,25.0,5.0,40.0,2.978311822777992,0.8874349788724851,0.6054892579805278,0.999713499575461,0.8026013787779944,False,65
20,0.5,15,15.0,5.0,45.0,2.9641481007391155,0.883667104336702,0.6026097805927092,0.9954689125039498,0.7990393465483294,False,66
20,0.6,10,15.0,5.0,50.0,2.934026455851056,0.8824364604894707,0.5964860657174103,0.9940825672543971,0.7952843164859037,False,67
25,0.5,0,20.0,5.0,50.0,2.9126146961678634,0.8842886216137389,0.592133066013524,0.9961690643199876,0.7941510651667558,False,68
20,0.5,10,25.0,5.0,40.0,2.8754385518742134,0.8871699258549586,0.5845751750463037,0.999414911976332,0.7919950435113179,False,69
20,0.7,5,15.0,5.0,55.0,2.9062082393676443,0.8810052526075273,0.5908306366491498,0.9924702825525978,0.7916504596008738,False,70
25,0.4,5,20.0,5.0,45.0,2.877905330013898,0.8853451899221382,0.5850766697702535,0.9973593099450501,0.7912179898576518,False,71
20,0.6,5,25.0,5.0,45.0,2.8481327337373528,0.8863031400305585,0.5790239162977092,0.9984384601680043,0.7887311882328567,False,72
15,0.7,15,25.0,5.0,40.0,2.837567233342445,0.8868934495391809,0.5768759555148995,0.9991034558000756,0.7879897056574876,False,73
20,0.7,0,25.0,5.0,50.0,2.822968639993111,0.8853107503345067,0.5739080690138806,0.9973205130511991,0.7856142910325399,False,74
20,0.4,15,20.0,5.0,40.0,2.80212084850274,0.8859740088327344,0.5696697237528181,0.9980676871993589,0.7838687054760884,False,75
25,0.5,0,15.0,5.0,55.0,2.821227419057087,0.8815075533239872,0.5735540796953444,0.9930361344956095,0.783295107095477,False,76
20,0.5,10,20.0,5.0,45.0,2.7776352366833597,0.8850091520418362,0.5646918114944948,0.9969807564585361,0.7808362839765155,False,77
25,0.4,5,15.0,5.0,50.0,2.7840479676059617,0.8828667760336756,0.5659955163847146,0.99456732644111,0.7802814214129123,False,78
20,0.6,5,20.0,5.0,50.0,2.7550832340591778,0.8839017427589239,0.5601070009886041,0.9957332374447045,0.7779201192166543,False,79
15,0.7,15,20.0,5.0,45.0,2.7401831287566436,0.8846573416559812,0.5570778172629565,0.9965844349246735,0.776831126093815,False,80
