TiO2_wt,TiO2_fine_frac,ZrO2_wt,CaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,dual_obj,pareto_flag,eps_flag,row_rank
15,0.6,5,25.0,5.0,50.0,1.9458952080070093,0.9108674352287406,0.707546788852863,False,False,123
15,0.5,10,20.0,5.0,50.0,1.9651364997447165,0.9056761182675073,0.706764418999471,False,False,124
15,0.4,15,15.0,5.0,50.0,1.9852562005575072,0.8998444858175447,0.7057253658710524,False,False,125
20,0.4,0,25.0,5.0,50.0,1.9287187540109856,0.9106552385428347,0.7055900003568494,False,False,126
15,0.7,0,25.0,5.0,55.0,1.9002279151995205,0.9115579576310177,0.7030316529539326,False,False,127
15,0.6,5,20.0,5.0,55.0,1.91779488157818,0.9060591461861928,0.7019014052366608,False,False,128
15,0.5,10,15.0,5.0,55.0,1.9361343511914562,0.8998332978699985,0.7004556140556492,False,False,129
20,0.4,0,20.0,5.0,55.0,1.9010821518485705,0.9059258528004882,0.7000375354671441,False,False,130
15,0.7,0,20.0,5.0,60.0,1.8737394587366178,0.9064976087854992,0.6974208926760153,False,False,131
15,0.6,5,15.0,5.0,60.0,1.8904945856779227,0.8998203753775121,0.6955580325434247,False,False,132
10,0.7,15,25.0,5.0,45.0,1.8351022575491884,0.9104511698225244,0.6954467780369662,False,False,133
20,0.4,0,15.0,5.0,60.0,1.87422637079483,0.8998248998748918,0.6938173005694083,False,False,134
15,0.4,10,25.0,5.0,45.0,1.8180448233299094,0.9102547708442339,0.6935113980997374,False,False,135
15,0.7,0,15.0,5.0,65.0,1.8479793277668777,0.899805281065469,0.690994065896904,False,False,136
10,0.7,15,20.0,5.0,50.0,1.8073891645808189,0.9057982977434234,0.6899280362450899,False,False,137
15,0.5,5,25.0,5.0,50.0,1.7753757333359164,0.9108674352287406,0.689274876870407,False,False,138
15,0.4,10,20.0,5.0,50.0,1.7908115861269989,0.9056761182675073,0.6880847374902705,False,False,139
15,0.6,0,25.0,5.0,55.0,1.7357103681889159,0.9115579576310179,0.6854028739282785,False,False,140
15,0.5,5,20.0,5.0,55.0,1.7497378482970516,0.9060591461861928,0.6838933546836758,False,False,141
10,0.7,15,15.0,5.0,55.0,1.7805006466532982,0.899829202040755,0.6837765338633482,False,False,142
10,0.6,15,25.0,5.0,45.0,1.7161406452517824,0.9104511698225246,0.6826995178581396,False,False,143
15,0.4,10,15.0,5.0,55.0,1.7643821835595428,0.8998332978699987,0.6820516135986953,False,False,144
15,0.6,0,20.0,5.0,60.0,1.7115152239368894,0.9064976087854992,0.6800378521441386,False,False,145
15,0.5,5,15.0,5.0,60.0,1.7248298868329563,0.8998203753775121,0.6778063311513464,False,False,146
10,0.6,15,20.0,5.0,50.0,1.690224070274551,0.9057982977434234,0.6773732808735429,False,False,147
15,0.6,0,15.0,5.0,65.0,1.687985348361207,0.8998052810654692,0.6738500070434383,False,False,148
10,0.7,10,25.0,5.0,50.0,1.619584813393911,0.9110882553471917,0.6727021747138251,False,False,149
10,0.6,15,15.0,5.0,55.0,1.6650786167630796,0.899829202040755,0.6714085555133187,False,False,150
15,0.4,5,25.0,5.0,50.0,1.604856258664824,0.9108674352287406,0.671002964887951,False,False,151
10,0.5,15,25.0,5.0,45.0,1.5971790329543765,0.9104511698225246,0.669952257679313,False,False,152
15,0.5,0,25.0,5.0,55.0,1.5711928211783115,0.9115579576310179,0.6677740949026242,False,False,153
10,0.7,10,20.0,5.0,55.0,1.5960127154454242,0.9061985740369586,0.6674974184452884,False,False,154
15,0.4,5,20.0,5.0,55.0,1.5816808150159238,0.9060591461861928,0.6658853041306911,False,False,155
10,0.5,15,20.0,5.0,50.0,1.573058975968283,0.9057982977434234,0.6648185255019957,False,False,156
15,0.5,0,20.0,5.0,60.0,1.5492909891371605,0.9064976087854992,0.6626548116122619,False,False,157
10,0.7,10,15.0,5.0,60.0,1.573116930024192,0.8998156108566682,0.661547009974163,False,False,158
10,0.6,10,25.0,5.0,50.0,1.5049977981193414,0.9110882553471917,0.660423671853857,False,False,159
15,0.4,5,15.0,5.0,60.0,1.55916518798799,0.8998203753775121,0.660054629759268,False,False,160
10,0.5,15,15.0,5.0,55.0,1.5496565868728607,0.899829202040755,0.6590405771632891,False,False,161
10,0.4,15,25.0,5.0,45.0,1.4782174206569705,0.9104511698225246,0.6572049975004863,False,False,162
15,0.5,0,15.0,5.0,65.0,1.5279913689555367,0.8998052810654692,0.6567059481899725,False,False,163
10,0.6,10,20.0,5.0,55.0,1.4830934463273628,0.9061985740369586,0.6553976219239339,False,False,164
10,0.4,15,20.0,5.0,50.0,1.455893881662015,0.9057982977434234,0.6522637701304487,False,False,165
10,0.7,5,25.0,5.0,55.0,1.419355693320704,0.9118080542363305,0.6516410986285429,False,False,166
15,0.4,0,25.0,5.0,55.0,1.4066752741677073,0.9115579576310179,0.65014531587697,False,False,167
10,0.6,10,15.0,5.0,60.0,1.4618175573710084,0.8998156108566684,0.6496207924864295,False,False,168
10,0.5,10,25.0,5.0,50.0,1.3904107828447716,0.9110882553471917,0.6481451689938887,False,False,169
10,0.7,5,20.0,5.0,60.0,1.3994202322938067,0.9066582132332367,0.6466834907120489,False,False,170
