wavelength_nm,R_ELW-1,R_ELW-2,R_ELW-3,R_ELW-4,R_ELW-5,R_ELW-C,R_plain_lime_lit,R_purdue_benchmark,AM1.5G_irr_W_m2_nm
750.0,0.9895757822007742,0.9891991751862307,0.9887302792764282,0.9884134565759282,0.9877134591590944,0.9884557770878001,0.65,0.981,1.2341
760.0,0.989325838582384,0.988916767984663,0.9883500097539843,0.9881680308564027,0.9871491141435039,0.9881258177827509,0.65,0.981,0.26604
770.0,0.9892721434778041,0.9888524603151067,0.9882753684382876,0.9881209457551683,0.9870446485406034,0.988046743126597,0.65,0.981,1.1608
780.0,0.9894530034678234,0.989060695316136,0.9885809777251525,0.9882925346242025,0.9875287668866395,0.9882942779154541,0.65,0.981,1.1636
790.0,0.9895969521922454,0.9892251324745167,0.9888111011221818,0.9884309446967802,0.9878779461276163,0.9884882666068112,0.65,0.981,1.091
800.0,0.989315665188999,0.9889248199524682,0.9883534707154256,0.9881271432360824,0.987173069532836,0.9881561075193586,0.65,0.981,1.0725
810.0,0.9893841910786494,0.9889960534687864,0.9884496480140168,0.9882041609602826,0.9873082837564413,0.9882327496628139,0.65,0.981,1.0559
820.0,0.9895825575612703,0.9892038603238593,0.988753857251018,0.9884246564124146,0.9877607830295394,0.9884581568308233,0.65,0.981,0.86188
830.0,0.9896769765047568,0.989297517886787,0.9888969319251231,0.9885379084817245,0.9879704703220541,0.9885537338052964,0.65,0.981,0.91601
840.0,0.9895198920534296,0.9891240127948477,0.988657351711306,0.9883772980410748,0.9876173323490979,0.9883552792179929,0.65,0.981,1.0157
850.0,0.9893467281538222,0.9889442921275152,0.9884125983170097,0.9881820492100771,0.987272744877576,0.9881623148949787,0.65,0.981,0.89372
860.0,0.9892715207444722,0.9888736950728944,0.9883420369262448,0.9880854556218575,0.9872107558383327,0.9880951911494451,0.65,0.981,0.98816
870.0,0.9894387356730245,0.9890602209729363,0.9886642257471349,0.9882533110715219,0.9877494467240929,0.9883105209987894,0.65,0.981,0.96755
880.0,0.9895486634813253,0.9891807702299134,0.9888909605353711,0.9883668940324166,0.9881322134071543,0.9884474315895181,0.65,0.981,0.93957
890.0,0.98912719340446,0.9887272218639406,0.9882938711633701,0.9879173687131895,0.9873027703050768,0.987941812228679,0.65,0.981,0.92393
900.0,0.9889497960519579,0.9885331292813713,0.9880693782564542,0.9877331451273734,0.9870153765878343,0.9877218384193186,0.65,0.981,0.7426
910.0,0.9889196661671134,0.9884957715280835,0.9880693563537993,0.987708730832799,0.9870582166744621,0.9876746561247862,0.65,0.981,0.62467
920.0,0.9889562108463913,0.9885309905959329,0.9881646326352799,0.9877541429946136,0.9872340298182072,0.9877093260061591,0.65,0.981,0.74414
930.0,0.9889785983866326,0.9885560575842725,0.9882308054477129,0.9877764764453473,0.9873592439432459,0.9877383850225481,0.65,0.981,0.4321
940.0,0.9889184246853913,0.9884980414906911,0.9881643858356614,0.9877016661382957,0.9872852411743166,0.9876812586092896,0.65,0.981,0.47181
950.0,0.9888014346888072,0.9883807478306653,0.988003009084555,0.987563302011944,0.9870654067625311,0.9875601092982578,0.65,0.981,0.14726
960.0,0.9887134624656911,0.9882932778693674,0.9878776955568295,0.9874580969852584,0.9868902509772691,0.987470634544281,0.65,0.981,0.42066
970.0,0.9887271870823783,0.9883127910873538,0.9879031740918449,0.9874652187653729,0.9869316913966771,0.9874976898908013,0.65,0.981,0.63461
980.0,0.9889043087425491,0.98850556304951,0.9881752704783766,0.9876506337034824,0.987329787070719,0.9877150173530564,0.65,0.981,0.60468
990.0,0.9891749271238779,0.9887964144371167,0.9885801838405583,0.98793972883592,0.9879068002779706,0.9880388299077416,0.65,0.981,0.73227
1000.0,0.9891458676419749,0.9887640440341762,0.988527051121635,0.9879104981758087,0.9878231419601772,0.9880015330064209,0.65,0.981,0.73532
1010.0,0.9889550442680964,0.988556789516104,0.9882247691132102,0.9877100704429932,0.9873769897072965,0.9877683845085026,0.65,0.981,0.71914
1020.0,0.9888673100570168,0.9884599282649522,0.9880772535390133,0.9876203926538267,0.9871500709612898,0.9876576767119607,0.65,0.981,0.69896
1030.0,0.9888679124237127,0.988459584184788,0.9880684756124961,0.987622594298916,0.9871284819950704,0.9876561933420507,0.65,0.981,0.69055
1040.0,0.9889097030842955,0.9885064713604513,0.9881280342651498,0.987664104884815,0.9872116385007609,0.9877106101585101,0.65,0.981,0.6717
1050.0,0.9889621577826178,0.9885675104434799,0.9882089691486103,0.9877127163962391,0.9873303701434937,0.9877837741412293,0.65,0.981,0.65463
1060.0,0.989005596518364,0.9886200654206782,0.9882804480523815,0.9877497356086682,0.9874388626996187,0.9878488126171537,0.65,0.981,0.63585
1070.0,0.9890267637436577,0.9886485231564585,0.9883219747260652,0.9877631811526504,0.9875071897396029,0.9878868257637683,0.65,0.981,0.60469
1080.0,0.989020299872544,0.9886464246658296,0.9883258002086928,0.9877484664006292,0.9875246909793458,0.9878898617590813,0.65,0.981,0.59722
1090.0,0.9889911825318556,0.9886188669845435,0.9883002722879625,0.9877113335558478,0.9875042291014373,0.9878633271475061,0.65,0.981,0.55573
1100.0,0.9889536693654692,0.9885810695536469,0.9882679409022579,0.9876671869450947,0.9874791320818583,0.987824053678861,0.65,0.981,0.48577
